Date,Product,Value
1982-08-20,Distillate Fuel Oil,149415
1982-08-27,Distillate Fuel Oil,154589
1982-09-24,Distillate Fuel Oil,158684
1982-10-01,Distillate Fuel Oil,154461
1982-10-08,Distillate Fuel Oil,158242
1982-10-15,Distillate Fuel Oil,161578
1982-10-22,Distillate Fuel Oil,162934
1982-10-29,Distillate Fuel Oil,163615
1982-11-05,Distillate Fuel Oil,167788
1982-11-12,Distillate Fuel Oil,171476
1982-11-19,Distillate Fuel Oil,176408
1982-11-26,Distillate Fuel Oil,177220
1982-12-03,Distillate Fuel Oil,183739
1982-12-10,Distillate Fuel Oil,186012
1982-12-17,Distillate Fuel Oil,180500
1982-12-24,Distillate Fuel Oil,182191
1982-12-31,Distillate Fuel Oil,181320
1983-01-07,Distillate Fuel Oil,177776
1983-01-14,Distillate Fuel Oil,175056
1983-01-21,Distillate Fuel Oil,170674
1983-01-28,Distillate Fuel Oil,169335
1983-02-04,Distillate Fuel Oil,164140
1983-02-11,Distillate Fuel Oil,156851
1983-02-18,Distillate Fuel Oil,151762
1983-02-25,Distillate Fuel Oil,147669
1983-03-04,Distillate Fuel Oil,143232
1983-03-11,Distillate Fuel Oil,140328
1983-03-18,Distillate Fuel Oil,134386
1983-03-25,Distillate Fuel Oil,130691
1983-04-01,Distillate Fuel Oil,120716
1983-04-08,Distillate Fuel Oil,113374
1983-04-15,Distillate Fuel Oil,108005
1983-04-29,Distillate Fuel Oil,103591
1983-05-13,Distillate Fuel Oil,105353
1983-05-20,Distillate Fuel Oil,105660
1983-06-03,Distillate Fuel Oil,106526
1983-06-10,Distillate Fuel Oil,110887
1983-06-17,Distillate Fuel Oil,110489
1983-06-24,Distillate Fuel Oil,110184
1983-07-01,Distillate Fuel Oil,111977
1983-07-08,Distillate Fuel Oil,118492
1983-07-15,Distillate Fuel Oil,122288
1983-07-22,Distillate Fuel Oil,125013
1983-07-29,Distillate Fuel Oil,129243
1983-08-05,Distillate Fuel Oil,131400
1983-08-12,Distillate Fuel Oil,134269
1983-08-19,Distillate Fuel Oil,137558
1983-08-26,Distillate Fuel Oil,138537
1983-09-02,Distillate Fuel Oil,142766
1983-09-09,Distillate Fuel Oil,146674
1983-09-16,Distillate Fuel Oil,150449
1983-09-23,Distillate Fuel Oil,153838
1983-09-30,Distillate Fuel Oil,153527
1983-10-07,Distillate Fuel Oil,157008
1983-10-14,Distillate Fuel Oil,157722
1983-10-21,Distillate Fuel Oil,161612
1983-10-28,Distillate Fuel Oil,163626
1983-11-04,Distillate Fuel Oil,160034
1983-11-11,Distillate Fuel Oil,162110
1983-11-18,Distillate Fuel Oil,160733
1983-11-25,Distillate Fuel Oil,160547
1983-12-02,Distillate Fuel Oil,162001
1983-12-09,Distillate Fuel Oil,159824
1983-12-16,Distillate Fuel Oil,157021
1983-12-23,Distillate Fuel Oil,157436
1983-12-30,Distillate Fuel Oil,144425
1984-01-06,Distillate Fuel Oil,138558
1984-01-13,Distillate Fuel Oil,132425
1984-01-20,Distillate Fuel Oil,124411
1984-01-27,Distillate Fuel Oil,118970
1984-02-03,Distillate Fuel Oil,116726
1984-02-10,Distillate Fuel Oil,117705
1984-02-17,Distillate Fuel Oil,125895
1984-02-24,Distillate Fuel Oil,132867
1984-03-02,Distillate Fuel Oil,129907
1984-03-09,Distillate Fuel Oil,127991
1984-03-16,Distillate Fuel Oil,121019
1984-03-23,Distillate Fuel Oil,115454
1984-03-30,Distillate Fuel Oil,112580
1984-04-06,Distillate Fuel Oil,104946
1984-04-13,Distillate Fuel Oil,101387
1984-04-20,Distillate Fuel Oil,98783
1984-04-27,Distillate Fuel Oil,99220
1984-05-04,Distillate Fuel Oil,98671
1984-05-11,Distillate Fuel Oil,97136
1984-05-18,Distillate Fuel Oil,95694
1984-05-25,Distillate Fuel Oil,94254
1984-06-01,Distillate Fuel Oil,99267
1984-06-08,Distillate Fuel Oil,102953
1984-06-15,Distillate Fuel Oil,104657
1984-06-22,Distillate Fuel Oil,111756
1984-06-29,Distillate Fuel Oil,113277
1984-07-06,Distillate Fuel Oil,115533
1984-07-13,Distillate Fuel Oil,119185
1984-07-20,Distillate Fuel Oil,122417
1984-07-27,Distillate Fuel Oil,123507
1984-08-03,Distillate Fuel Oil,126057
1984-08-10,Distillate Fuel Oil,128721
1984-08-17,Distillate Fuel Oil,132176
1984-08-24,Distillate Fuel Oil,133575
1984-08-31,Distillate Fuel Oil,136038
1984-09-07,Distillate Fuel Oil,140575
1984-09-14,Distillate Fuel Oil,139605
1984-09-21,Distillate Fuel Oil,141027
1984-09-28,Distillate Fuel Oil,141939
1984-10-05,Distillate Fuel Oil,143191
1984-10-12,Distillate Fuel Oil,148298
1984-10-19,Distillate Fuel Oil,152974
1984-10-26,Distillate Fuel Oil,155641
1984-11-02,Distillate Fuel Oil,154929
1984-11-09,Distillate Fuel Oil,157501
1984-11-16,Distillate Fuel Oil,157133
1984-11-23,Distillate Fuel Oil,159417
1984-11-30,Distillate Fuel Oil,161646
1984-12-07,Distillate Fuel Oil,158118
1984-12-14,Distillate Fuel Oil,155273
1984-12-21,Distillate Fuel Oil,155580
1984-12-28,Distillate Fuel Oil,159499
1985-01-04,Distillate Fuel Oil,162841
1985-01-11,Distillate Fuel Oil,162711
1985-01-18,Distillate Fuel Oil,155146
1985-01-25,Distillate Fuel Oil,145689
1985-02-01,Distillate Fuel Oil,143350
1985-02-08,Distillate Fuel Oil,139186
1985-02-15,Distillate Fuel Oil,133574
1985-02-22,Distillate Fuel Oil,126365
1985-03-01,Distillate Fuel Oil,123669
1985-03-08,Distillate Fuel Oil,117561
1985-03-15,Distillate Fuel Oil,109990
1985-03-22,Distillate Fuel Oil,103819
1985-03-29,Distillate Fuel Oil,98539
1985-04-05,Distillate Fuel Oil,98195
1985-04-12,Distillate Fuel Oil,97250
1985-04-19,Distillate Fuel Oil,96263
1985-04-26,Distillate Fuel Oil,95906
1985-05-03,Distillate Fuel Oil,96584
1985-05-10,Distillate Fuel Oil,97349
1985-05-17,Distillate Fuel Oil,99311
1985-05-24,Distillate Fuel Oil,100847
1985-05-31,Distillate Fuel Oil,105001
1985-06-07,Distillate Fuel Oil,105288
1985-06-14,Distillate Fuel Oil,106951
1985-06-21,Distillate Fuel Oil,107828
1985-06-28,Distillate Fuel Oil,107941
1985-07-05,Distillate Fuel Oil,110986
1985-07-12,Distillate Fuel Oil,112515
1985-07-19,Distillate Fuel Oil,115151
1985-07-26,Distillate Fuel Oil,118360
1985-08-02,Distillate Fuel Oil,115667
1985-08-09,Distillate Fuel Oil,116301
1985-08-16,Distillate Fuel Oil,117813
1985-08-23,Distillate Fuel Oil,116902
1985-08-30,Distillate Fuel Oil,114127
1985-09-06,Distillate Fuel Oil,115710
1985-09-13,Distillate Fuel Oil,115807
1985-09-20,Distillate Fuel Oil,114625
1985-09-27,Distillate Fuel Oil,115197
1985-10-04,Distillate Fuel Oil,114396
1985-10-11,Distillate Fuel Oil,116264
1985-10-18,Distillate Fuel Oil,116398
1985-10-25,Distillate Fuel Oil,120726
1985-11-01,Distillate Fuel Oil,121971
1985-11-08,Distillate Fuel Oil,123068
1985-11-15,Distillate Fuel Oil,129291
1985-11-22,Distillate Fuel Oil,131966
1985-11-29,Distillate Fuel Oil,136011
1985-12-06,Distillate Fuel Oil,141370
1985-12-13,Distillate Fuel Oil,141618
1985-12-20,Distillate Fuel Oil,139919
1985-12-27,Distillate Fuel Oil,143344
1986-01-03,Distillate Fuel Oil,145080
1986-01-10,Distillate Fuel Oil,146695
1986-01-17,Distillate Fuel Oil,145730
1986-01-24,Distillate Fuel Oil,143604
1986-01-31,Distillate Fuel Oil,138675
1986-02-07,Distillate Fuel Oil,135529
